RA,ra_num,ano_base,Fase_num,IAN,IPP
RA-655,655,2023,2,5.0,9.166666667
RA-656,656,2023,2,5.0,8.541666667
RA-657,657,2023,2,5.0,8.75
RA-644,644,2023,2,5.0,8.541666667
RA-461,461,2023,2,5.0,8.541666667
RA-632,632,2023,2,10.0,8.333333333
RA-633,633,2023,2,5.0,8.541666667
RA-1137,1137,2023,2,10.0,9.375
RA-1138,1138,2023,2,5.0,9.166666667
RA-1139,1139,2023,2,10.0,8.125
RA-1140,1140,2023,2,10.0,7.708333333
RA-445,445,2023,2,5.0,8.541666667
RA-1141,1141,2023,2,5.0,7.708333333
RA-639,639,2023,2,10.0,8.125
RA-1142,1142,2023,2,10.0,8.541666667
RA-642,642,2023,2,10.0,8.75
RA-658,658,2023,2,10.0,7.916666667
RA-588,588,2023,2,10.0,8.958333333
RA-662,662,2023,2,5.0,7.291666667
RA-403,403,2023,2,5.0,7.291666667
RA-591,591,2023,2,5.0,5.833333333
RA-592,592,2023,2,10.0,7.916666667
RA-602,602,2023,2,5.0,8.75
RA-666,666,2023,2,10.0,8.541666667
RA-667,667,2023,2,5.0,7.083333333
RA-422,422,2023,2,5.0,6.666666667
RA-595,595,2023,2,5.0,6.666666667
RA-423,423,2023,2,5.0,7.083333333
RA-669,669,2023,2,10.0,7.708333333
RA-670,670,2023,2,10.0,8.958333333
RA-609,609,2023,2,5.0,6.875
RA-326,326,2023,3,10.0,9.0625
RA-179,179,2023,3,10.0,8.59375
RA-1143,1143,2023,3,5.0,7.5
RA-330,330,2023,3,5.0,6.71875
RA-332,332,2023,3,5.0,8.28125
RA-199,199,2023,3,5.0,7.96875
RA-1144,1144,2023,3,10.0,8.28125
RA-352,352,2023,3,10.0,7.96875
RA-1145,1145,2023,3,10.0,8.59375
RA-1146,1146,2023,3,5.0,7.1875
RA-331,331,2023,3,10.0,7.03125
RA-227,227,2023,3,10.0,8.28125
RA-247,247,2023,3,10.0,8.28125
RA-343,343,2023,3,5.0,7.65625
RA-1147,1147,2023,3,5.0,7.1875
RA-345,345,2023,3,5.0,8.125
RA-336,336,2023,3,5.0,7.34375
RA-346,346,2023,3,10.0,7.96875
RA-1148,1148,2023,3,10.0,7.5
RA-1149,1149,2023,3,5.0,7.96875
RA-1150,1150,2023,3,2.5,7.96875
RA-1151,1151,2023,3,10.0,7.65625
RA-356,356,2023,3,10.0,6.09375
RA-1152,1152,2023,3,5.0,7.8125
RA-221,221,2023,3,5.0,7.1875
RA-359,359,2023,3,10.0,7.65625
RA-360,360,2023,3,10.0,7.34375
RA-338,338,2023,3,10.0,8.59375
RA-339,339,2023,3,10.0,7.8125
RA-353,353,2023,3,10.0,7.8125
RA-1153,1153,2023,3,5.0,7.65625
RA-183,183,2023,3,5.0,7.96875
RA-342,342,2023,3,5.0,7.96875
RA-187,187,2023,3,10.0,7.96875
RA-190,190,2023,3,5.0,7.65625
RA-347,347,2023,3,10.0,7.8125
RA-234,234,2023,3,10.0,4.84375
RA-1154,1154,2023,3,10.0,7.65625
RA-249,249,2023,3,5.0,5.15625
RA-380,380,2023,3,5.0,6.71875
RA-250,250,2023,3,10.0,7.96875
RA-367,367,2023,3,10.0,7.8125
RA-1155,1155,2023,3,5.0,7.5
RA-1156,1156,2023,3,10.0,7.96875
RA-368,368,2023,3,5.0,7.03125
RA-387,387,2023,3,5.0,6.875
RA-388,388,2023,3,5.0,6.875
RA-374,374,2023,3,10.0,7.65625
RA-377,377,2023,3,10.0,7.34375
RA-223,223,2023,3,5.0,7.5
RA-236,236,2023,3,10.0,7.1875
RA-362,362,2023,3,10.0,7.03125
RA-381,381,2023,3,5.0,7.34375
RA-364,364,2023,3,10.0,7.03125
RA-382,382,2023,3,5.0,7.5
RA-383,383,2023,3,10.0,7.5
RA-384,384,2023,3,10.0,7.65625
RA-1157,1157,2023,3,5.0,7.5
RA-386,386,2023,3,5.0,7.03125
