ano_base,Fase_num,IDA_faixa,IEG_faixa,IPS_faixa,IPP_faixa,n,inde_medio
2023,2,Q1_baixo,Q2,Q4_alto,Q1_baixo,3,6.297744444666667
2023,2,Q1_baixo,Q2,Q4_alto,Q2,3,6.922133333333334
2023,2,Q1_baixo,Q2,Q4_alto,Q3,0,
2023,2,Q1_baixo,Q2,Q4_alto,Q4_alto,0,
2023,2,Q1_baixo,Q3,Q1_baixo,Q1_baixo,1,6.956533333
2023,2,Q1_baixo,Q3,Q1_baixo,Q2,0,
2023,2,Q1_baixo,Q3,Q1_baixo,Q3,0,
2023,2,Q1_baixo,Q3,Q1_baixo,Q4_alto,2,6.7362666665
2023,2,Q1_baixo,Q3,Q2,Q1_baixo,0,
2023,2,Q1_baixo,Q3,Q2,Q2,0,
2023,2,Q1_baixo,Q3,Q2,Q3,0,
2023,2,Q1_baixo,Q3,Q2,Q4_alto,0,
2023,2,Q1_baixo,Q3,Q3,Q1_baixo,0,
2023,2,Q1_baixo,Q3,Q3,Q2,0,
2023,2,Q1_baixo,Q3,Q3,Q3,0,
2023,2,Q1_baixo,Q3,Q3,Q4_alto,0,
2023,2,Q1_baixo,Q3,Q4_alto,Q1_baixo,0,
2023,2,Q1_baixo,Q3,Q4_alto,Q2,0,
2023,2,Q1_baixo,Q3,Q4_alto,Q3,0,
2023,2,Q1_baixo,Q3,Q4_alto,Q4_alto,0,
2023,2,Q1_baixo,Q4_alto,Q1_baixo,Q1_baixo,0,
2023,2,Q1_baixo,Q4_alto,Q1_baixo,Q2,1,7.560533333
2023,2,Q1_baixo,Q4_alto,Q1_baixo,Q3,1,7.5667
2023,2,Q1_baixo,Q4_alto,Q1_baixo,Q4_alto,1,6.571966667
2023,2,Q1_baixo,Q4_alto,Q2,Q1_baixo,0,
2023,2,Q1_baixo,Q4_alto,Q2,Q2,0,
2023,2,Q1_baixo,Q4_alto,Q2,Q3,0,
2023,2,Q1_baixo,Q4_alto,Q2,Q4_alto,0,
2023,2,Q1_baixo,Q4_alto,Q3,Q1_baixo,0,
2023,2,Q1_baixo,Q4_alto,Q3,Q2,0,
2023,2,Q1_baixo,Q4_alto,Q3,Q3,0,
2023,2,Q1_baixo,Q4_alto,Q3,Q4_alto,0,
2023,2,Q1_baixo,Q4_alto,Q4_alto,Q1_baixo,0,
2023,2,Q1_baixo,Q4_alto,Q4_alto,Q2,0,
2023,2,Q1_baixo,Q4_alto,Q4_alto,Q3,0,
2023,2,Q1_baixo,Q4_alto,Q4_alto,Q4_alto,0,
2023,2,Q2,Q1_baixo,Q1_baixo,Q1_baixo,0,
2023,2,Q2,Q1_baixo,Q1_baixo,Q2,1,7.1043
2023,2,Q2,Q1_baixo,Q1_baixo,Q3,1,6.243
2023,2,Q2,Q1_baixo,Q1_baixo,Q4_alto,3,6.316888889
2023,2,Q2,Q1_baixo,Q2,Q1_baixo,1,6.9883
2023,2,Q2,Q1_baixo,Q2,Q2,0,
2023,2,Q2,Q1_baixo,Q2,Q3,1,6.829533333
2023,2,Q2,Q1_baixo,Q2,Q4_alto,0,
2023,2,Q2,Q1_baixo,Q3,Q1_baixo,1,6.774866667
2023,2,Q2,Q1_baixo,Q3,Q2,0,
2023,2,Q2,Q1_baixo,Q3,Q3,0,
2023,2,Q2,Q1_baixo,Q3,Q4_alto,0,
2023,2,Q2,Q1_baixo,Q4_alto,Q1_baixo,1,6.463033333
2023,2,Q2,Q1_baixo,Q4_alto,Q2,1,6.6858
2023,2,Q2,Q1_baixo,Q4_alto,Q3,0,
2023,2,Q2,Q1_baixo,Q4_alto,Q4_alto,1,6.897033333
2023,2,Q2,Q2,Q1_baixo,Q1_baixo,0,
2023,2,Q2,Q2,Q1_baixo,Q2,0,
2023,2,Q2,Q2,Q1_baixo,Q3,2,6.396599999999999
2023,2,Q2,Q2,Q1_baixo,Q4_alto,3,7.197788888999999
2023,2,Q2,Q2,Q2,Q1_baixo,1,6.7093
2023,2,Q2,Q2,Q2,Q2,0,
2023,2,Q2,Q2,Q2,Q3,1,7.5853
2023,2,Q2,Q2,Q2,Q4_alto,0,
2023,2,Q2,Q2,Q3,Q1_baixo,0,
2023,2,Q2,Q2,Q3,Q2,1,6.846333333
2023,2,Q2,Q2,Q3,Q3,0,
2023,2,Q2,Q2,Q3,Q4_alto,0,
2023,2,Q2,Q2,Q4_alto,Q1_baixo,1,7.043666667
2023,2,Q2,Q2,Q4_alto,Q2,0,
2023,2,Q2,Q2,Q4_alto,Q3,0,
2023,2,Q2,Q2,Q4_alto,Q4_alto,0,
2023,2,Q2,Q3,Q1_baixo,Q1_baixo,1,6.615333333
2023,2,Q2,Q3,Q1_baixo,Q2,3,7.229233333
2023,2,Q2,Q3,Q1_baixo,Q3,4,7.034933333500001
2023,2,Q2,Q3,Q1_baixo,Q4_alto,8,7.1871291665
2023,2,Q2,Q3,Q2,Q1_baixo,0,
2023,2,Q2,Q3,Q2,Q2,0,
2023,2,Q2,Q3,Q2,Q3,2,7.069599999999999
2023,2,Q2,Q3,Q2,Q4_alto,1,8.416866667
2023,2,Q2,Q3,Q3,Q1_baixo,0,
2023,2,Q2,Q3,Q3,Q2,0,
2023,2,Q2,Q3,Q3,Q3,0,
2023,2,Q2,Q3,Q3,Q4_alto,0,
2023,2,Q2,Q3,Q4_alto,Q1_baixo,2,6.7524166665
2023,2,Q2,Q3,Q4_alto,Q2,2,7.2197666665
2023,2,Q2,Q3,Q4_alto,Q3,1,8.438533333
2023,2,Q2,Q3,Q4_alto,Q4_alto,1,7.838866667
2023,2,Q2,Q4_alto,Q1_baixo,Q1_baixo,1,6.195833333
